id,draw_date,numbers,bonus,type
3f941f34-2a59-4fd8-a90b-4d0363a0aecf,2025-03-05T00:00:00,"[57, 80, 49, 53, 22]",,DIGITAL_1
98d3eb17-f1bd-4a65-98b0-000f72cc4980,2025-03-05T11:00:00,"[83, 68, 61, 72, 80]",,RESULTAT_1
01d9c607-5a75-470b-91f5-fcfc28e97d7b,2025-03-05T14:00:00,"[27, 30, 36, 18, 47]",,RESULTAT_2
af30850d-9691-4dd2-adf9-afa815bb8089,2025-03-05T18:00:00,"[55, 36, 46, 60, 43]",,RESULTAT_3
a11588a1-06df-4ac8-883c-48beeef447b7,2025-03-05T21:00:00,"[30, 22, 58, 46, 27]",,DIGITAL_2
5320d237-5586-484d-9301-dea0b9e7d38f,2025-03-04T00:00:00,"[21, 59, 6, 27, 83]",,DIGITAL_1
aea98034-2a07-4078-b657-cb440fa8c4cf,2025-03-04T11:00:00,"[44, 70, 39, 65, 8]",,RESULTAT_1
8e5c9fb5-91a0-4b1d-ab30-3dc229d4858b,2025-03-04T14:00:00,"[2, 33, 50, 29, 17]",,RESULTAT_2
ba4cee5c-b873-4215-8b33-da1a2cc697ce,2025-03-04T18:00:00,"[47, 61, 20, 21, 9]",,RESULTAT_3
a42e63cf-fedd-42f3-a639-14f73e1f7ca7,2025-03-04T21:00:00,"[41, 10, 90, 57, 87]",,DIGITAL_2
d479acea-9cc4-4bce-8e5d-e07d98dfa72d,2025-03-03T00:00:00,"[85, 59, 10, 54, 71]",,DIGITAL_1
5c822866-d896-478d-9843-f045cae57c58,2025-03-03T11:00:00,"[12, 87, 26, 2, 45]",,RESULTAT_1
c57b62a5-3391-4dae-87d5-ecb6f2116169,2025-03-03T14:00:00,"[81, 17, 35, 51, 66]",,RESULTAT_2
2a35ca13-42a4-4988-ad03-b2281e7b7906,2025-03-03T18:00:00,"[13, 59, 54, 24, 36]",,RESULTAT_3
ec4dbf49-4908-4602-8ddf-3fe285e15ebf,2025-03-03T21:00:00,"[17, 28, 39, 6, 88]",,DIGITAL_2
80f1524d-9510-4b26-a01e-ef8138aad5ba,2025-03-02T00:00:00,"[52, 36, 25, 37, 57]",,DIGITAL_1
d5293f63-70f9-402e-bb78-ffd867a10b6d,2025-03-02T11:00:00,"[1, 62, 69, 42, 11]",,RESULTAT_1
9d8c8a1d-696e-4dcb-a76e-3136b46b5bea,2025-03-02T14:00:00,"[16, 4, 22, 87, 67]",,RESULTAT_2
c7c10b21-144a-4421-bff6-3a40b8ce71f3,2025-03-02T18:00:00,"[41, 45, 68, 26, 76]",,RESULTAT_3
02837d51-6ac5-4004-8b5e-f1a251253fc2,2025-03-02T21:00:00,"[16, 12, 19, 22, 49]",,DIGITAL_2
6e6df387-c69c-448d-8b5f-1831250ae86c,2025-03-01T00:00:00,"[70, 52, 1, 64, 37]",,DIGITAL_1
43f38cd8-f0e1-4835-aa46-445e6a83b34c,2025-03-01T11:00:00,"[65, 59, 19, 40, 49]",,RESULTAT_1
529640a2-d0e9-4ed5-a183-4e5a4b38ce2c,2025-03-01T14:00:00,"[36, 2, 41, 23, 65]",,RESULTAT_2
fd2da382-8d57-4d56-baee-f1ec5f869d7c,2025-03-01T18:00:00,"[38, 61, 63, 78, 50]",,RESULTAT_3
67634905-4559-489e-a142-4ec740b5a447,2025-03-01T21:00:00,"[67, 74, 61, 76, 64]",,DIGITAL_2
93467d20-88cd-4db8-ae26-ae789ad03143,2025-02-28T00:00:00,"[74, 61, 16, 41, 55]",,DIGITAL_1
0a2605bb-2074-460f-8b59-d57892b68ba8,2025-02-28T11:00:00,"[5, 34, 23, 30, 88]",,RESULTAT_1
ecb084f4-1064-4229-baf2-9ffa3cb04261,2025-02-28T14:00:00,"[46, 69, 59, 32, 70]",,RESULTAT_2
50970593-7fd1-4a2a-9562-e5c8ec153d88,2025-02-28T18:00:00,"[23, 87, 42, 73, 36]",,RESULTAT_3
f54ed2e1-8053-4b77-b7e9-be921f0630e9,2025-02-28T21:00:00,"[84, 15, 89, 11, 73]",,DIGITAL_2
a4e3f540-2a9c-4493-b4c4-6d748f6ff49d,2025-02-27T00:00:00,"[33, 13, 74, 56, 73]",,DIGITAL_1
86ee4beb-0132-4696-9636-a59d11eb99f5,2025-02-27T11:00:00,"[88, 69, 2, 56, 21]",,RESULTAT_1
34882a0a-360a-42de-a673-a977bcfacfe8,2025-02-27T14:00:00,"[88, 24, 42, 26, 78]",,RESULTAT_2
6cb5803d-1230-4d9a-aa89-38f43a61c9e0,2025-02-27T18:00:00,"[9, 58, 90, 34, 14]",,RESULTAT_3
8bdbed17-947a-4b47-bebc-eb7eb73488e3,2025-02-27T21:00:00,"[21, 90, 76, 30, 48]",,DIGITAL_2
91739342-efe8-4dc5-9b79-53bc114eec3a,2025-02-26T00:00:00,"[18, 52, 72, 25, 33]",,DIGITAL_1
3c2be2e8-2efa-435e-bc65-7a22082746a8,2025-02-26T11:00:00,"[48, 64, 79, 21, 6]",,RESULTAT_1
94086f2d-9ec1-4b09-bc80-9b2c7097e774,2025-02-26T14:00:00,"[62, 25, 87, 16, 55]",,RESULTAT_2
6b4fb516-46ee-4d82-b487-91e6999db3e0,2025-02-26T18:00:00,"[6, 42, 2, 12, 33]",,RESULTAT_3
c02823d5-fc1e-4f5f-8b01-a99c30aa26f9,2025-02-26T21:00:00,"[78, 6, 36, 81, 88]",,DIGITAL_2
3f9ba31d-0c8d-45b7-9a37-06869e78f612,2025-02-25T00:00:00,"[34, 64, 46, 15, 5]",,DIGITAL_1
a1378824-18e4-4eab-9cfd-6a6878781fb8,2025-02-25T11:00:00,"[56, 15, 19, 80, 74]",,RESULTAT_1
58a2d1d3-d36f-49a7-98a3-cb29a5567f1f,2025-02-25T14:00:00,"[32, 69, 3, 27, 68]",,RESULTAT_2
78e9b1e1-da71-4f7c-82ad-12dd80e3675f,2025-02-25T18:00:00,"[20, 54, 80, 67, 14]",,RESULTAT_3
ca14bfcc-01f0-4afe-a7d4-2e11a46af5ed,2025-02-25T21:00:00,"[16, 65, 61, 5, 64]",,DIGITAL_2
07d837b8-c253-4133-a4a4-b192fc57061b,2025-02-24T00:00:00,"[46, 23, 75, 83, 39]",,DIGITAL_1
baced1a8-c8b7-49c7-9603-9f9f48cb1c2e,2025-02-24T11:00:00,"[16, 77, 27, 80, 68]",,RESULTAT_1
3a5078b3-e335-4b72-9c0a-2b63a01dfc4f,2025-02-24T14:00:00,"[26, 65, 48, 90, 81]",,RESULTAT_2
6a38a091-57e3-4106-aef8-bb54817bb481,2025-02-24T18:00:00,"[63, 22, 77, 37, 14]",,RESULTAT_3
54f4feb6-6856-4cdd-af3b-2fdc566dc565,2025-02-24T21:00:00,"[21, 28, 36, 51, 78]",,DIGITAL_2
febde1c0-8ffd-4614-bfb0-44bebdd47600,2025-02-23T00:00:00,"[26, 40, 23, 83, 22]",,DIGITAL_1
9349f32c-327d-49fc-9b36-1bdfc0f4b8ae,2025-02-23T11:00:00,"[43, 15, 67, 11, 64]",,RESULTAT_1
2a92e441-b35a-4a72-8fb8-c382d28aa040,2025-02-23T14:00:00,"[6, 56, 61, 23, 78]",,RESULTAT_2
f51d5054-1b49-4f7f-ba93-c5ce83e190a7,2025-02-23T18:00:00,"[56, 76, 35, 75, 79]",,RESULTAT_3
d1559157-a52a-402b-87fc-cad136290aed,2025-02-23T21:00:00,"[51, 49, 10, 28, 72]",,DIGITAL_2
7418e732-167d-47fa-9ce3-dd0928690ebd,2025-02-22T00:00:00,"[5, 51, 9, 8, 49]",,DIGITAL_1
dd2fec83-a242-449b-bdb8-845d755b88d6,2025-02-22T11:00:00,"[55, 81, 57, 9, 14]",,RESULTAT_1
9208482b-a5d4-471a-909f-0522d7cb9021,2025-02-22T14:00:00,"[65, 32, 72, 11, 15]",,RESULTAT_2
38b44c51-24e0-4450-a30b-c05087ffa022,2025-02-22T18:00:00,"[78, 30, 25, 7, 31]",,RESULTAT_3
d8e38353-0815-47a1-9880-aba2bf6251b3,2025-02-22T21:00:00,"[47, 54, 15, 29, 44]",,DIGITAL_2
04e2e9f0-f93b-4440-8191-8b5a7b1d0032,2025-02-21T00:00:00,"[9, 43, 51, 27, 10]",,DIGITAL_1
f985eac6-da68-4a36-86c5-75c5934cfae6,2025-02-21T11:00:00,"[16, 73, 60, 48, 62]",,RESULTAT_1
eb2ce890-175c-4bcf-b098-cccbd153117c,2025-02-21T14:00:00,"[70, 80, 63, 19, 42]",,RESULTAT_2
b393e611-1e53-4f75-b86e-b406c1534ae3,2025-02-21T18:00:00,"[84, 60, 83, 74, 5]",,RESULTAT_3
158d880d-2bcd-45f1-b0a6-7d753791c518,2025-02-21T21:00:00,"[44, 42, 83, 56, 90]",,DIGITAL_2
dd33eb5d-7383-4dce-92b0-f99bb864cab5,2025-02-20T00:00:00,"[46, 88, 9, 51, 52]",,DIGITAL_1
f8854e22-cb44-49cb-aff1-f5e9d0628d53,2025-02-20T11:00:00,"[29, 79, 23, 17, 65]",,RESULTAT_1
58968f5b-1e52-466b-aa5f-6ff00883bcbc,2025-02-20T14:00:00,"[27, 10, 57, 42, 69]",,RESULTAT_2
1f9c7c82-7d2b-4e2d-b296-25132faeda92,2025-02-20T18:00:00,"[15, 45, 38, 4, 62]",,RESULTAT_3
b09d863c-dd62-4f87-afec-6003e7ed8bb2,2025-02-20T21:00:00,"[82, 57, 59, 3, 73]",,DIGITAL_2
bc145982-7d0c-4a11-83e5-7df8edb1b10e,2025-02-19T00:00:00,"[34, 37, 26, 6, 59]",,DIGITAL_1
feaa5f5c-6b21-4e46-bdd2-353cdb108e98,2025-02-19T11:00:00,"[89, 19, 23, 83, 27]",,RESULTAT_1
bf111542-3b46-49eb-8bf7-781bce30fef4,2025-02-19T14:00:00,"[49, 67, 10, 71, 39]",,RESULTAT_2
78754c04-9fdc-4c39-9852-8674001df0ee,2025-02-19T18:00:00,"[90, 53, 82, 65, 52]",,RESULTAT_3
eaf33464-3b31-4621-b671-4f8b6f7a9c22,2025-02-19T21:00:00,"[57, 50, 30, 88, 43]",,DIGITAL_2
9fb7fdb9-b61a-4898-80ca-c644ba17beec,2025-02-18T00:00:00,"[71, 20, 82, 80, 30]",,DIGITAL_1
761512f2-4443-4109-bac5-577ca561cff8,2025-02-18T11:00:00,"[46, 25, 11, 26, 31]",,RESULTAT_1
51a136d4-2d2b-47e5-abbd-19b6a05dde53,2025-02-18T14:00:00,"[69, 76, 18, 22, 29]",,RESULTAT_2
78d6dcad-3cd4-457b-a3d3-74b6fd1835c3,2025-02-18T18:00:00,"[49, 69, 7, 76, 34]",,RESULTAT_3
394b4493-521f-498a-bfaf-904340db94e0,2025-02-18T21:00:00,"[47, 22, 68, 62, 21]",,DIGITAL_2
dbd76f8b-931f-42aa-ac98-930924f0a919,2025-02-17T00:00:00,"[52, 69, 88, 7, 16]",,DIGITAL_1
61fec8d8-89ea-4ceb-9411-052bb493a6a9,2025-02-17T11:00:00,"[74, 11, 26, 68, 33]",,RESULTAT_1
